Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
ABLLL,"Abacus Global Management, Inc. ",,,USD,,,,0.0,804970603.0,385913855.0,874164752.0,424152503.0,111923786.0,11371733.0,98708060.0,-23961050.0,-208810444.0,320121348.0,-4955290.0,
ABLLW,,,1.61,USD,USD,,,0.0,804970603.0,385913855.0,874164752.0,424152503.0,111923786.0,11371733.0,98708060.0,-23961050.0,-208810444.0,320121348.0,-4955290.0,
ABLV,Able View Global Inc.,Advertising Agencies,1.0681,USD,USD,61347816.0,12-31,0.0,14300098.0,4650366.0,54906695.0,11415579.0,148999819.0,111990554.0,23688244.0,9750046.0,23573330.0,-16216022.0,253662.0,
ABNB,"Airbnb, Inc.",Travel Services,114.91,USD,USD,70025011200.0,12-31,0.0,10407000000.0,2294000000.0,20959000000.0,8412000000.0,11102000000.0,1878000000.0,6671000000.0,2648000000.0,4518000000.0,-3572000000.0,-616000000.0,
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,0.9821,USD,USD,59489136.0,12-31,0.0,210265000.0,28732000.0,238992000.0,181816000.0,0.0,,,-102329000.0,-86215000.0,6928000.0,48027000.0,
ABP,"Abpro Holdings, Inc",Biotechnology,0.267,USD,USD,15572214.0,12-31,0.0,-12623000.0,3328000.0,4661000.0,-15495000.0,183000.0,,,-7232000.0,-9030000.0,11161000.0,0.0,
ABSI,Absci Corporation,Biotechnology,3.21,USD,USD,411467424.0,12-31,0.0,183123000.0,10105000.0,213608000.0,179133000.0,4534000.0,,,-103106000.0,-72402000.0,82526000.0,-41577000.0,
ABUS,Arbutus Biopharma Corporation,Biotechnology,3.19,USD,USD,610821184.0,12-31,0.0,97366000.0,1289000.0,131707000.0,97366000.0,6171000.0,,,-69920000.0,-64850000.0,51996000.0,22948000.0,
ABVC,"ABVC Biopharma, Inc.",Biotechnology,0.8315,USD,USD,13119656.0,12-31,0.0,3016438.0,2430686.0,7539907.0,1226140.0,509589.0,763.0,5214068.0,-4902878.0,-1809145.0,1980769.0,0.0,
ABVE,Above Food Ingredients Inc.,Packaged Foods,0.538,USD,CAD,16323996.0,01-31,0.0,33015347.0,117506626.0,143887955.0,-46258232.0,368423398.0,374322146.0,33600285.0,-53312282.0,7148748.0,-4006321.0,-4517944.0,
ABVX,Abivax SA,Biotechnology,6.5,USD,EUR,412221536.0,12-31,0.0,135582000.0,97361000.0,205228000.0,40584000.0,0.0,,,-176242000.0,-154072000.0,28207000.0,15762000.0,
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,14.35,USD,USD,2393422080.0,12-31,0.0,732793000.0,51995000.0,1187756000.0,732793000.0,957797000.0,81841000.0,791677000.0,226451000.0,157719000.0,6845000.0,-30538000.0,
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,4.26,USD,CAD,246582016.0,03-31,0.0,617032000.0,104791000.0,838673000.0,559773000.0,270281000.0,138821000.0,158539000.0,-69326000.0,-68508000.0,-47923000.0,-5487000.0,
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,4.77,USD,USD,805128320.0,12-31,0.0,2115900000.0,1272100000.0,2988100000.0,1006900000.0,2190900000.0,1937300000.0,214200000.0,-215100000.0,367300000.0,-5500000.0,-372300000.0,
ACET,"Adicet Bio, Inc.",Biotechnology,0.5817,USD,USD,48098332.0,12-31,0.0,186609000.0,17234000.0,220219000.0,186609000.0,0.0,,,-117122000.0,-92378000.0,111307000.0,-119242000.0,
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,92.95,USD,USD,36004085760.0,12-31,0.0,22718000000.0,2728000000.0,70906000000.0,19990000000.0,16930000000.0,,,4312000000.0,6673000000.0,-1925000000.0,-4461000000.0,
ACGLN,Arch Capital Group Ltd. - Depos,Insurance - Diversified,16.98,USD,USD,,12-31,0.0,22718000000.0,2728000000.0,70906000000.0,19990000000.0,16930000000.0,,,4312000000.0,6673000000.0,-1925000000.0,-4461000000.0,
ACGLO,Arch Capital Group Ltd. - Depos,Insurance - Diversified,20.34,USD,USD,11860030464.0,12-31,0.0,22718000000.0,2728000000.0,70906000000.0,19990000000.0,16930000000.0,,,4312000000.0,6673000000.0,-1925000000.0,-4461000000.0,
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,20.6,USD,USD,2202778624.0,12-31,0.0,5030624000.0,2085288000.0,5956915000.0,3073715000.0,3153963000.0,112713000.0,2518974000.0,255612000.0,129693000.0,583018000.0,-736479000.0,
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,2.48,USD,USD,86019048.0,12-31,0.0,30736000.0,9958000.0,38633000.0,20899000.0,0.0,,,-39827000.0,-29770000.0,48527000.0,-21580000.0,
ACIC,American Coastal Insurance Corp,Insurance - Property & Casualty,11.18,USD,USD,549016256.0,12-31,0.5,384680000.0,152343000.0,1216112000.0,235660000.0,296657000.0,,,75718000.0,243509000.0,-13840000.0,-179211000.0,
ACIU,AC Immune SA,Biotechnology,1.5,USD,CHF,150615008.0,12-31,0.0,112270000.0,5427000.0,230913000.0,112270000.0,27309000.0,,,-50916000.0,65842000.0,-1120000.0,-105290000.0,
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,51.06,USD,USD,5509323264.0,12-31,0.0,2348904000.0,956434000.0,3025293000.0,1424327000.0,1594288000.0,791783000.0,494370000.0,203118000.0,358748000.0,-288197000.0,-45051000.0,
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,45.1,USD,USD,1451353984.0,12-31,0.0,1012790000.0,43674000.0,1348781000.0,1012790000.0,1017865000.0,563211000.0,243860000.0,200992000.0,140818000.0,-71192000.0,-108726000.0,
ACLX,"Arcellx, Inc.",Biotechnology,63.12,USD,USD,3538374656.0,12-31,0.0,454792000.0,54080000.0,711327000.0,454792000.0,107936000.0,,,-107348000.0,-83467000.0,-24087000.0,-183045000.0,
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,18.45,USD,USD,1222190720.0,12-31,0.0,1087436000.0,188783000.0,1855721000.0,904625000.0,782118000.0,390564000.0,240556000.0,103627000.0,152450000.0,92481000.0,-11959000.0,
ACNB,ACNB Corporation,Banks - Regional,41.355,USD,USD,440658208.0,12-31,1.26,574432000.0,273923000.0,2394830000.0,303273000.0,108341000.0,,,31846000.0,39782000.0,-60906000.0,2428000.0,
ACNT,Ascent Industries Co.,Steel,12.74,USD,USD,128904592.0,12-31,0.0,93914000.0,33270000.0,147250000.0,93545000.0,177872000.0,155758000.0,26586000.0,-13598000.0,14681000.0,-1329000.0,905000.0,
ACOG,Alpha Cognition Inc.,Biotechnology,4.56,USD,USD,73050288.0,12-31,0.0,42374446.0,911463.0,50736938.0,41462983.0,0.0,,,-14636865.0,-7755654.0,54851864.0,-26701.0,
ACRS,"Aclaris Therapeutics, Inc.",Diagnostics & Research,1.1,USD,USD,123289104.0,12-31,0.0,155554000.0,,220327000.0,155554000.0,18720000.0,15458000.0,55789000.0,-132065000.0,-20075000.0,74536000.0,-69769000.0,
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,2.03,USD,USD,63643544.0,12-31,0.0,176786000.0,3645000.0,196588000.0,176786000.0,0.0,,,-80556000.0,-65669000.0,121027000.0,-51771000.0,
ACT,"Enact Holdings, Inc.",Insurance - Specialty,35.34,USD,USD,5449286656.0,12-31,0.715,5739146000.0,743050000.0,6521531000.0,4996096000.0,1204689000.0,,,688068000.0,686262000.0,-381999000.0,-320514000.0,
ACTG,Acacia Research Corporation,Business Equipment & Supplies,2.93,USD,USD,281532000.0,12-31,0.0,628813000.0,124329000.0,756394000.0,514825000.0,122312000.0,92658000.0,62580000.0,-36057000.0,50122000.0,97556000.0,-212963000.0,
ACTU,"Actuate Therapeutics, Inc.",Biotechnology,8.52,USD,USD,166409248.0,12-31,0.0,104186.0,,9318448.0,104186.0,0.0,,,-27285328.0,-21842648.0,27525611.0,,
ADAG,Adagene Inc.,Biotechnology,1.45,USD,USD,72077616.0,12-31,0.0,68733738.0,18493539.0,89268425.0,50523844.0,103204.0,,,-33424111.0,-29700985.0,3769220.0,1110127.0,
ADAP,Adaptimmune Therapeutics plc,Biotechnology,0.2623,USD,USD,67471960.0,12-31,0.0,62086000.0,74209000.0,245963000.0,11849000.0,178032000.0,70000.0,230371000.0,-70814000.0,-73206000.0,78749000.0,-58952000.0,
ADBE,Adobe Inc.,Software - Application,349.91,USD,USD,149131640832.0,11-29,0.0,19733000000.0,6056000000.0,30230000000.0,14105000000.0,21505000000.0,2358000000.0,11406000000.0,5560000000.0,8056000000.0,-7724000000.0,149000000.0,
ADEA,Adeia Inc.,Software - Application,11.77,USD,USD,1276397696.0,12-31,0.2,872027000.0,485417000.0,1097961000.0,396571000.0,376024000.0,,,64623000.0,212461000.0,-164174000.0,-24022000.0,
ADGM,"Adagio Medical Holdings, Inc",Medical Devices,1.0,USD,USD,22816000.0,12-31,0.0,-93755000.0,39955000.0,6825000.0,-133579000.0,300000.0,1306000.0,26936000.0,-38146000.0,-25652000.0,21875000.0,-340000.0,
ADI,"Analog Devices, Inc.",Semiconductors,178.5,USD,USD,88531714048.0,11-02,3.75,42758004000.0,7649817000.0,48228277000.0,35176317000.0,9427157000.0,4045814000.0,3311287000.0,1635273000.0,3852529000.0,-1714390000.0,-1104858000.0,
ADMA,ADMA Biologics Inc,Biotechnology,21.39,USD,USD,5536779776.0,12-31,0.0,421355000.0,82116000.0,488678000.0,349018000.0,426454000.0,206901000.0,80570000.0,197673000.0,118672000.0,-58302000.0,-8575000.0,
ADP,"Automatic Data Processing, Inc.",Software - Application,292.89,USD,USD,119327195136.0,06-30,5.74,7924300000.0,3705300000.0,54362700000.0,4547600000.0,18177900000.0,10476700000.0,3744700000.0,3752000000.0,4157600000.0,-1431700000.0,-1389000000.0,
ADPT,Adaptive Biotechnologies Corpor,Biotechnology,7.01,USD,USD,1041559872.0,12-31,0.0,202709000.0,89387000.0,539376000.0,202709000.0,178957000.0,72080000.0,262221000.0,-159492000.0,-95212000.0,241000.0,77792000.0,
ADSE,ADS-TEC ENERGY PLC,Electrical Equipment & Parts,12.8,USD,EUR,700650240.0,12-31,0.0,47827000.0,17341000.0,124408000.0,33919000.0,107383000.0,110270000.0,40802000.0,-55081000.0,-20659000.0,25492000.0,-9920000.0,
ADSEW,ADS-TEC ENERGY PLC Warrant,Electrical Equipment & Parts,2.28,USD,EUR,,,0.0,47827000.0,17341000.0,124408000.0,33919000.0,107383000.0,110270000.0,40802000.0,-55081000.0,-20659000.0,25492000.0,-9920000.0,
ADSK,"Autodesk, Inc.",Software - Application,261.14,USD,USD,55622823936.0,01-31,0.0,4908000000.0,2559000000.0,10833000000.0,2621000000.0,6131000000.0,578000000.0,4184000000.0,1112000000.0,1607000000.0,-987000000.0,-903000000.0,
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,7.47,USD,USD,618114112.0,12-31,0.0,323990000.0,215501000.0,1179372000.0,134414000.0,922720000.0,592406000.0,454832000.0,-450872000.0,103070000.0,-50011000.0,-62208000.0,
ADUR,Aduro Clean Technologies Inc.,Pollution & Treatment Controls,4.3614,USD,CAD,132447000.0,05-31,0.0,6356218.0,138586.0,6956751.0,6356218.0,337516.0,,,-7436861.0,-5209021.0,5113768.0,-1136805.0,
ADUS,Addus HomeCare Corporation,Medical Care Facilities,98.04,USD,USD,1854377600.0,12-31,0.0,1188935000.0,273126000.0,1412634000.0,970492000.0,1154599000.0,779578000.0,272330000.0,73598000.0,116434000.0,272296000.0,-354610000.0,
ADV,Advantage Solutions Inc.,Advertising Agencies,1.29,USD,USD,414617600.0,12-31,0.0,2448675000.0,1737911000.0,3106517000.0,748735000.0,3566324000.0,3059052000.0,529149000.0,-326962000.0,93095000.0,-211417000.0,206446000.0,
ADVB,Advanced Biomed Inc.,Diagnostics & Research,1.77,USD,USD,41513756.0,06-30,0.0,1663258.0,126740.0,4460247.0,1663258.0,0.0,,,-2782278.0,-2126340.0,1866820.0,-74110.0,
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,2.96,USD,USD,61835880.0,12-31,0.0,70714000.0,91705000.0,179841000.0,70714000.0,1000000.0,,,-130927000.0,-92462000.0,120003000.0,-41889000.0,
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,8.3,USD,USD,251138080.0,05-31,0.0,111593000.0,6197000.0,127912000.0,111593000.0,66218000.0,33675000.0,22465000.0,33156000.0,1756000.0,139000.0,17251000.0,
AEIS,"Advanced Energy Industries, Inc",Electrical Equipment & Parts,88.11,USD,USD,3367423232.0,12-31,0.4,1767866000.0,671699000.0,2261894000.0,1203171000.0,1482042000.0,952699000.0,462418000.0,54214000.0,130747000.0,-377093000.0,-73541000.0,
AENT,Alliance Entertainment Holding ,Entertainment,2.9,USD,USD,147718464.0,06-30,0.0,167216000.0,109833000.0,340812000.0,87629000.0,1100483000.0,971594000.0,112349000.0,4581000.0,55773000.0,-55390000.0,-117000.0,
AEP,American Electric Power Company,Utilities - Regulated Electric,108.15,USD,USD,57750802432.0,12-31,3.57,72110400000.0,45762800000.0,103078000000.0,26943800000.0,19721300000.0,7261400000.0,8013800000.0,2967100000.0,6804300000.0,659200000.0,-7596500000.0,
AERT,"Aeries Technology, Inc.",Consulting Services,0.72,USD,USD,32081762.0,03-31,0.0,-4022000.0,16369000.0,49407000.0,-12240000.0,72509000.0,50868000.0,18654000.0,15657000.0,-4299000.0,7056000.0,-1740000.0,
AEVA,"Aeva Technologies, Inc.",Software - Infrastructure,6.18,USD,USD,391575904.0,12-31,0.0,99352000.0,3759000.0,147489000.0,99352000.0,9065000.0,12855000.0,143082000.0,-152261000.0,-106913000.0,-671000.0,97901000.0,
AEYE,"AudioEye, Inc.",Software - Application,10.92,USD,USD,140163664.0,12-31,0.0,16256000.0,7237000.0,29766000.0,9436000.0,35201000.0,7261000.0,31330000.0,-4254000.0,2731000.0,898000.0,-7214000.0,
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,18.41,USD,USD,118921416.0,12-31,0.0,187930000.0,58815000.0,866817000.0,129115000.0,31181000.0,,,5441000.0,6791000.0,17853000.0,-33245000.0,
AFCG,Advanced Flower Capital Inc.,REIT - Mortgage,5.27,USD,USD,119080920.0,12-31,1.62,389988288.0,188612150.0,402057313.0,201376138.0,35755227.0,,,16784205.0,21557675.0,-34724749.0,-4848919.0,
AFMD,Affimed N.V.,Biotechnology,0.739,USD,EUR,12113910.0,12-31,0.0,69959000.0,19351000.0,97157000.0,57807000.0,8275000.0,,,-105938000.0,-110269000.0,-6220000.0,-36059000.0,
AFRI,Forafric Global PLC,Farm Products,8.52,USD,USD,230086880.0,12-31,0.0,221562000.0,198767000.0,309450000.0,22795000.0,305476000.0,274878000.0,29465000.0,-12676000.0,33326000.0,-21182000.0,-9837000.0,
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,43.82,USD,USD,14526987264.0,06-30,0.0,9306844000.0,6614348000.0,9519619000.0,2731989000.0,2322999000.0,845106000.0,1742719000.0,-517757000.0,450138000.0,913149000.0,-1325149000.0,
AFYA,Afya Limited,Education & Training Services,18.39,USD,BRL,1660015488.0,12-31,1.349,5402280000.0,2675344000.0,7584481000.0,3601505000.0,2875913000.0,1109813000.0,1000986000.0,386324000.0,1043623000.0,-439943000.0,-1143051000.0,
AGAE,Allied Gaming & Entertainment I,Entertainment,0.978,USD,USD,43135668.0,12-31,0.0,91980092.0,16273396.0,112016687.0,82749924.0,7655039.0,4795888.0,9458767.0,-3595361.0,-8138806.0,7147077.0,6128081.0,
AGEN,Agenus Inc.,Biotechnology,2.87,USD,USD,72636256.0,12-31,0.0,-293209000.0,94870000.0,226271000.0,-326380000.0,103463000.0,156014000.0,71878000.0,-227212000.0,-158315000.0,122840000.0,27000.0,
AGFY,Agrify Corporation,Farm & Heavy Construction Machinery,16.5,USD,USD,34576740.0,12-31,0.0,38382000.0,11041000.0,54022000.0,27859000.0,9680000.0,9015000.0,13048000.0,-41746000.0,-11583000.0,42373000.0,-54000.0,
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,28.0,USD,USD,1604293632.0,12-31,0.0,1540956000.0,56988000.0,1663199000.0,1540956000.0,36498000.0,4165000.0,458070000.0,673725000.0,-389841000.0,14442000.0,363441000.0,
AGNC,AGNC Investment Corp.,REIT - Mortgage,8.45,USD,USD,8019049984.0,12-31,1.44,8192000000.0,64000000.0,88015000000.0,8128000000.0,973000000.0,,,863000000.0,86000000.0,11083000000.0,-11169000000.0,
AGNCL,AGNC Investment Corp. - Deposit,REIT - Mortgage,24.27,USD,USD,,12-31,1.44,8192000000.0,64000000.0,88015000000.0,8128000000.0,973000000.0,,,863000000.0,86000000.0,11083000000.0,-11169000000.0,
AGNCM,AGNC Investment Corp. - Deposit,REIT - Mortgage,24.07,USD,USD,8556764672.0,12-31,1.44,8192000000.0,64000000.0,88015000000.0,8128000000.0,973000000.0,,,863000000.0,86000000.0,11083000000.0,-11169000000.0,
AGNCN,AGNC Investment Corp. - Deposit,REIT - Mortgage,25.14,USD,USD,8634357760.0,12-31,1.44,8192000000.0,64000000.0,88015000000.0,8128000000.0,973000000.0,,,863000000.0,86000000.0,11083000000.0,-11169000000.0,
AGNCO,AGNC Investment Corp. - Deposit,REIT - Mortgage,24.651,USD,USD,,12-31,1.44,8192000000.0,64000000.0,88015000000.0,8128000000.0,973000000.0,,,863000000.0,86000000.0,11083000000.0,-11169000000.0,
AGNCP,AGNC Investment Corp. - Deposit,REIT - Mortgage,24.16,USD,USD,,12-31,1.44,8192000000.0,64000000.0,88015000000.0,8128000000.0,973000000.0,,,863000000.0,86000000.0,11083000000.0,-11169000000.0,
AGYS,"Agilysys, Inc.",Software - Application,69.11,USD,USD,1980499072.0,03-31,0.0,236477000.0,23892000.0,350430000.0,236477000.0,237464000.0,93208000.0,128475000.0,86195000.0,48186000.0,-8558000.0,-7602000.0,
AHCO,AdaptHealth Corp.,Medical Devices,7.445,USD,USD,1067099392.0,12-31,0.0,3552315000.0,2130336000.0,4486947000.0,1571144000.0,3260975000.0,2579882000.0,404283000.0,90422000.0,541839000.0,-198949000.0,-310275000.0,
AHG,Akso Health Group,Medical Distribution,1.38,USD,USD,546702144.0,03-31,0.0,138367384.0,,142018117.0,138367384.0,2414338.0,2292206.0,8760172.0,-9458784.0,1351240.0,131653697.0,-54721082.0,
AIFF,"Firefly Neuroscience, Inc.",Software - Application,3.08,USD,USD,37370872.0,12-31,0.0,319000.0,694000.0,4601000.0,-375000.0,108000.0,,9288000.0,-10460000.0,-6155000.0,6299000.0,-477000.0,
AIOT,"PowerFleet, Inc.",Software - Infrastructure,4.58,USD,USD,643306816.0,03-31,0.0,154292000.0,123471000.0,308680000.0,38531000.0,133736000.0,66660000.0,79633000.0,-5675000.0,4397000.0,-3706000.0,1529000.0,
AIP,"Arteris, Inc.",Semiconductors,5.85,USD,USD,239546960.0,12-31,0.0,888000.0,5991000.0,106135000.0,-1188000.0,57724000.0,5962000.0,83358000.0,-33638000.0,-720000.0,-262000.0,970000.0,
AIRE,reAlpha Tech Corp.,Real Estate Services,0.6232,USD,USD,30660006.0,12-31,0.0,7536711.0,5976688.0,11994458.0,1560023.0,948420.0,302084.0,7345982.0,-26023028.0,-6042238.0,4263798.0,-1554400.0,
AIRG,"Airgain, Inc.",Communication Equipment,3.82,USD,USD,44154996.0,12-31,0.0,30969000.0,3899000.0,48443000.0,30969000.0,60599000.0,35797000.0,33730000.0,-8688000.0,-3527000.0,4301000.0,-178000.0,
AIRJ,AirJoule Technologies Corporati,Building Products & Equipment,5.11,USD,USD,292585312.0,12-31,0.0,252110324.0,154229.0,369852120.0,252110324.0,0.0,,,215695562.0,-24261446.0,61926456.0,-10019058.0,
AIRJW,,Building Products & Equipment,0.6481,USD,USD,,,0.0,252110324.0,154229.0,369852120.0,252110324.0,0.0,,,215695562.0,-24261446.0,61926456.0,-10019058.0,
AIRS,"AirSculpt Technologies, Inc.",Medical Care Facilities,1.69,USD,USD,98990912.0,12-31,0.0,153996000.0,105053000.0,209996000.0,79290000.0,180350000.0,71382000.0,110768000.0,-8251000.0,11350000.0,630000.0,-14007000.0,
AIRT,"Air T, Inc.",Conglomerates,16.6,USD,USD,46981820.0,03-31,0.0,117696000.0,125202000.0,177167000.0,4770000.0,286834000.0,230349000.0,54008000.0,-6819000.0,17178000.0,-13910000.0,-2499000.0,
AIRTP,"Air T, Inc. - Trust Preferred S",Conglomerates,17.0,USD,USD,409514688.0,03-31,0.0,117696000.0,125202000.0,177167000.0,4770000.0,286834000.0,230349000.0,54008000.0,-6819000.0,17178000.0,-13910000.0,-2499000.0,
AISP,"Airship AI Holdings, Inc",Software - Infrastructure,3.64,USD,USD,120551344.0,12-31,0.0,-53023137.0,943703.0,13707454.0,-53023137.0,23050213.0,12523458.0,14031868.0,-57464890.0,-6503968.0,14785047.0,,
AISPW,,Software - Infrastructure,0.8612,USD,USD,,,0.0,-53023137.0,943703.0,13707454.0,-53023137.0,23050213.0,12523458.0,14031868.0,-57464890.0,-6503968.0,14785047.0,,
AIXI,XIAO-I Corporation,Software - Application,3.44,USD,USD,36846184.0,12-31,0.0,29590171.0,36857749.0,66334231.0,-4863873.0,59165259.0,19741689.0,61345752.0,-26461807.0,-15789498.0,36473075.0,-20059814.0,
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,73.67,USD,USD,10764292096.0,12-31,0.0,8424168000.0,4634605000.0,10368785000.0,4878357000.0,3991168000.0,1620793000.0,1734021000.0,504918000.0,1519171000.0,-679635000.0,-798679000.0,
AKBA,"Akebia Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,2.14,USD,USD,559034368.0,12-31,0.0,-10492000.0,47640000.0,220670000.0,-49185000.0,160180000.0,63177000.0,147417000.0,-69410000.0,-40659000.0,49663000.0,-33000.0,
AKRO,"Akero Therapeutics, Inc.",Biotechnology,38.5,USD,USD,3065373696.0,12-31,0.0,785409000.0,36457000.0,825886000.0,750112000.0,0.0,,,-252060000.0,-230107000.0,445846000.0,-109708000.0,
AKTX,Akari Therapeutics Plc,Biotechnology,1.36,USD,USD,39272040.0,12-31,0.0,25489000.0,3260000.0,50562000.0,22229000.0,0.0,,,-19791000.0,-12552000.0,10988000.0,382000.0,
AKYA,"Akoya BioSciences, Inc.",Medical Instruments & Supplies,1.17,USD,USD,58285184.0,12-31,0.0,83777000.0,84146000.0,125005000.0,7595000.0,81672000.0,33794000.0,89062000.0,-55365000.0,-44103000.0,-3205000.0,-24051000.0,
ALAB,"Astera Labs, Inc.",Semiconductors,55.31,USD,USD,9716916224.0,12-31,0.0,964799000.0,1286000.0,1054508000.0,964799000.0,396290000.0,93591000.0,418765000.0,-83421000.0,136676000.0,655838000.0,-757568000.0,
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,7.2,USD,USD,56668824.0,12-31,0.0,27321000.0,1590000.0,34811000.0,26351000.0,31824000.0,7915000.0,16802000.0,5780000.0,8891000.0,4690000.0,-9335000.0,
ALCO,"Alico, Inc.",Farm Products,29.34,USD,USD,228908048.0,09-30,0.2,343276000.0,92117000.0,398719000.0,251159000.0,46643000.0,103026000.0,11071000.0,6973000.0,-30497000.0,-37975000.0,68178000.0,
ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology,2.32,USD,USD,138524176.0,12-31,0.0,86036243.0,15303003.0,104606694.0,71004871.0,0.0,,,-55851444.0,-43208747.0,-171422.0,-44915755.0,
ALEC,"Alector, Inc.",Biotechnology,1.11,USD,USD,109985352.0,12-31,0.0,136189000.0,42519000.0,468303000.0,126800000.0,100558000.0,,,-119049000.0,-229905000.0,81540000.0,107131000.0,
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,16.77,USD,USD,3325289728.0,03-29,0.0,1383975000.0,275207000.0,1530603000.0,1130435000.0,1049367000.0,474838000.0,365067000.0,152697000.0,181715000.0,198878000.0,-516716000.0,
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,173.87,USD,USD,12729074688.0,12-31,0.0,3851985000.0,119277000.0,6214600000.0,3851985000.0,3999012000.0,1199853000.0,2127395000.0,421362000.0,738231000.0,-355722000.0,-254912000.0,
